network,attr,method,lam,nodes (n),clusters (k),groups (h),Q_FNMTF,B_FNMTF
DrugNet,Ethnicity,FairNMF,1.8,193,5,3,0.5897502985415073,0.053596452459527266
DrugNet,Ethnicity,FairNMF,1.9,193,5,3,0.5869706199376529,0.04648191997571719
DrugNet,Ethnicity,FairNMF,2,193,5,3,0.6088703726066363,0.04396959636544856
DrugNet,Ethnicity,FairNMF,2.2,193,5,3,0.5846046505387165,0.054386581893855396
DrugNet,Ethnicity,FairNMF,2.4,193,5,3,0.5981005156829332,0.048317759754349314
DrugNet,Ethnicity,FairNMF,2.5,193,5,3,0.6161941436666711,0.05096010317714397
DrugNet,Ethnicity,FairNMF,2.6,193,5,3,0.5943078085935228,0.061637289090945124
DrugNet,Ethnicity,FairNMF,2.8,193,5,3,0.5986528733781481,0.05306959574804787
DrugNet,Ethnicity,FairNMF,3,193,5,3,0.5804586134256463,0.057534720995127846
DrugNet,Ethnicity,FairNMF,3.33,193,5,3,0.5878561812627746,0.04686026228898398
DrugNet,Ethnicity,FairNMF,3.66,193,5,3,0.6094831094831095,0.14776083696730832
DrugNet,Ethnicity,FairNMF,4,193,5,3,0.6268633686216103,0.0804246682465923
DrugNet,Ethnicity,FairNMF,4.33,193,5,3,0.6130410086454042,0.03437763944711514
DrugNet,Ethnicity,FairNMF,4.66,193,5,3,0.616337264688913,0.06145722915874698
DrugNet,Ethnicity,FairNMF,5,193,5,3,0.6077678934821792,0.04254014282346047
DrugNet,Ethnicity,FairNMF,5.33,193,5,3,0.6053415449019844,0.06950229756121652
DrugNet,Ethnicity,FairNMF,5.66,193,5,3,0.5945962869039793,0.05343406415214403
DrugNet,Ethnicity,FairNMF,6,193,5,3,0.6186808714281241,0.053871128222119403
DrugNet,Ethnicity,FairNMF,6.5,193,5,3,0.5982794169607356,0.04562152215254497
DrugNet,Ethnicity,FairNMF,7,193,5,3,0.5992499563928135,0.06247632301016703
DrugNet,Ethnicity,FairNMF,7.5,193,5,3,0.5824734890668957,0.059974559042891645
DrugNet,Ethnicity,FairNMF,8,193,5,3,0.5727926936718145,0.06979508157187037
DrugNet,Ethnicity,FairNMF,8.5,193,5,3,0.5749708167290585,0.0429079401980866
DrugNet,Ethnicity,FairNMF,9,193,5,3,0.6149507797859446,0.04653353607296636
DrugNet,Ethnicity,FairNMF,10,193,5,3,0.6030717349398668,0.03688104037457362
DrugNet,Ethnicity,FairNMF,15,193,5,3,0.6082956522516962,0.05653796874633558
DrugNet,Ethnicity,FairNMF,20,193,5,3,0.6094719281532469,0.031477753285818165
DrugNet,Ethnicity,FairNMF,30,193,5,3,0.5982436367051752,0.05520659361635597
DrugNet,Ethnicity,FairNMF,40,193,5,3,0.6173145129189086,0.05583503730149924
DrugNet,Ethnicity,FairNMF,50,193,5,3,0.6054891384561715,0.050493280336035506
DrugNet,Ethnicity,FairNMF,60,193,5,3,0.5979014880113781,0.08138036531333843
DrugNet,Ethnicity,FairNMF,70,193,5,3,0.5978455813620649,0.05984865598116699
DrugNet,Ethnicity,FairNMF,80,193,5,3,0.5984605545045106,0.09595891825142684
DrugNet,Ethnicity,FairNMF,90,193,5,3,0.5838241937143035,0.0720656251382004
DrugNet,Ethnicity,FairNMF,100,193,5,3,0.5983263785461588,0.03893748000072117
DrugNet,Ethnicity,FairNMF,0,193,6,3,0.6117529194452271,0.041988663767022726
DrugNet,Ethnicity,FairNMF,0.0001,193,6,3,0.6112452870694629,0.07125767733813078
DrugNet,Ethnicity,FairNMF,0.0005,193,6,3,0.5839091718212597,0.08407166307165585
DrugNet,Ethnicity,FairNMF,0.00075,193,6,3,0.5978612352238726,0.07890778483265141
DrugNet,Ethnicity,FairNMF,0.001,193,6,3,0.6068264255077443,0.07689661458236678
DrugNet,Ethnicity,FairNMF,0.0025,193,6,3,0.6242201022420802,0.07915196240116948
DrugNet,Ethnicity,FairNMF,0.005,193,6,3,0.6182447995634809,0.07680635705448839
DrugNet,Ethnicity,FairNMF,0.0075,193,6,3,0.6136045476704817,0.05750656984271447
DrugNet,Ethnicity,FairNMF,0.01,193,6,3,0.6360499492367625,0.04003983428223395
DrugNet,Ethnicity,FairNMF,0.025,193,6,3,0.6340686175851011,0.0342411949605819
DrugNet,Ethnicity,FairNMF,0.05,193,6,3,0.604854038919973,0.07122671477185942
DrugNet,Ethnicity,FairNMF,0.075,193,6,3,0.6228000733495239,0.054453366871391656
DrugNet,Ethnicity,FairNMF,0.1,193,6,3,0.6201098453845707,0.04297006345237216
